NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system   53m         Normal    Pulling                   pod/aws-node-9tgh2                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1"
kube-system   53m         Normal    Created                   pod/aws-node-b7n6t                                               Container created
kube-system   53m         Normal    Pulled                    pod/aws-node-b7n6t                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3" in 1.13s (1.13s including waiting). Image size: 57915596 bytes.
kube-system   53m         Normal    Pulling                   pod/aws-node-b7n6t                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1"
kube-system   53m         Normal    Pulled                    pod/aws-node-9tgh2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3" in 1.15s (1.15s including waiting). Image size: 57915596 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-9tgh2                                               Container created
kube-system   53m         Normal    Started                   pod/aws-node-9tgh2                                               Container started
kube-system   53m         Normal    Created                   pod/aws-node-qd46x                                               Container created
kube-system   53m         Normal    Pulled                    pod/aws-node-9tgh2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1" in 1.071s (1.071s including waiting). Image size: 33957519 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-9tgh2                                               Container created
kube-system   53m         Normal    Started                   pod/aws-node-b7n6t                                               Container started
kube-system   53m         Normal    Created                   pod/aws-node-b7n6t                                               Container created
kube-system   53m         Normal    Pulled                    pod/aws-node-b7n6t                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1" in 965ms (965ms including waiting). Image size: 33957519 bytes.
kube-system   53m         Normal    Pulled                    pod/aws-node-qd46x                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3" in 2.092s (2.092s including waiting). Image size: 57915596 bytes.
kube-system   53m         Normal    Started                   pod/aws-node-9tgh2                                               Container started
kube-system   53m         Normal    Started                   pod/aws-node-qd46x                                               Container started
kube-system   53m         Normal    Pulling                   pod/aws-node-qd46x                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1"
default       53m         Normal    NodeHasNoDiskPressure     node/<NODE-02>                                  Node <NODE-02> status is now: NodeHasNoDiskPressure
default       53m         Normal    NodeHasSufficientMemory   node/<NODE-02>                                  Node <NODE-02> status is now: NodeHasSufficientMemory
default       53m         Normal    NodeHasSufficientPID      node/<NODE-02>                                  Node <NODE-02> status is now: NodeHasSufficientPID
